,Question,Correct Answer,Phi Full
50,"A number is as much greater than 36 as is less than 86. Find the Number.
A)60  B)56  C)51  D)61  E)41",D," Step 1: Understand the problem
The problem states that a number is as much greater than 36 as it is less than 86.

Step 2: Set up an equation
Let the number be x. According to the problem, the difference between x and 36 is equal to the difference between 86 and x.

So, we can write the equation as:
x - 36 = 86 - x

Step 3: Solve the equation
Now, we need to solve the equation for x.

First, add x to both sides of the equation:
x - 36 + x = 86 - x + x
2x - 36 = 86

Next, add 36 to both sides of the equation:
2x - 36 + 36 = 86 + 36
2x = 122

Finally, divide both sides by 2:
2x / 2 = 122 / 2
x = 61

Step 4: Check the answer
The number we found is 61. Now, let's check if it satisfies the problem's condition:

61 - 36 = 25
86 - 61 = 25

Since both differences are equal, the number 61 satisfies the problem's condition.

Final Answer: 'D'. '61'"
51,"If there are 5,000 voters out of which 20% are not eligible to vote and there are two candidates contesting. The winning candidate won by 15% of the votes. What is the total number of votes he got ?
A)3267  B)2678  C)2797  D)2300  E)2781",D," Step 1: Calculate the number of eligible voters.
Total voters = 5,000
Percentage of ineligible voters = 20%
Number of ineligible voters = (20/100) * 5,000 = 1,000

Number of eligible voters = Total voters - Number of ineligible voters
Number of eligible voters = 5,000 - 1,000 = 4,000

Step 2: Calculate the winning margin in terms of votes.
Winning margin = 15% of the votes

Step 3: Calculate the total number of votes the winning candidate got.
Let's assume the winning candidate got 'x' votes.

Since the winning candidate won by 15% of the votes, the other candidate got (x - 15% of total votes).

Total votes = Votes for the winning candidate + Votes for the other candidate
4,000 = x + (x - 15% of total votes)

Step 4: Solve for 'x'.
4,000 = x + (x - 0.15 * 4,000)
4,000 = 2x - 600
4,600 = 2x
x = 2,300

Final Answer: 'D' '2300'"
52,"If Raj was one-third as old as Rahim 5 years back and Raj is 17 years old now, How old is Rahim now?
A)37  B)41  C)40  D)42  E)43",B," Let's think step by step.

Step 1: Determine Raj's age 5 years ago.
Raj is currently 17 years old, so 5 years ago, he was 17 - 5 = 12 years old.

Step 2: Set up the equation based on the given information.
Raj was one-third as old as Rahim 5 years back. So, we can write the equation as:
12 = (1/3) * Rahim's age 5 years ago

Step 3: Solve for Rahim's age 5 years ago.
To find Rahim's age 5 years ago, we can multiply both sides of the equation by 3:
12 * 3 = Rahim's age 5 years ago
36 = Rahim's age 5 years ago

Step 4: Determine Rahim's current age.
Since we found Rahim's age 5 years ago, we can now find his current age by adding 5 years:
36 + 5 = Rahim's current age
41 = Rahim's current age

Final Answer: 'B'. '41'"
53,"I know a 5 digit number having a property that with a 1 after it, it is three times as large as it would be with a 1 before it.
What is that number?
A)42857  B)32456  C)76523  D)24567  E)43566",A," Let's think step by step.

Let the 5-digit number be represented as ABCDE, where A, B, C, D, and E are the digits.

According to the problem, when we add a 1 after the number (ABCDE1), it becomes three times as large as the original number (ABCDE).

So, we can write the equation:

ABCDE1 = 3 * ABCDE

Now, let's convert the numbers to their decimal form:

(100000A + 10000B + 1000C + 100D + 10E + 1) = 3 * (100000A + 10000B + 1000C + 100D + 10E)

Simplifying the equation:

100000A + 10000B + 1000C + 100D + 10E + 1 = 300000A + 30000B + 3000C + 300D + 30E

Now, let's group the terms with the same variables:

(100000A - 300000A) + (10000B - 30000B) + (1000C - 3000C) + (100D - 300D) + (10E - 30E) + 1 = 0

-200000A - 20000B - 2000C - 200D - 20E + 1 = 0

Now, we need to find a 5-digit number that satisfies this equation. Let's check the given options:

A) 42857
ABCDE = 42857
ABCDE1 = 428571

428571 = 3 * 42857
428571 = 128571

This option satisfies the equation.

Final Answer: 'A'. '42857'"
54,"Anna has 4 books. If she decide to arrange the 4 books in every possible combination and moved just one book every minute, how long would it taken by her ?
A)22 minutes  B)30 minutes  C)15 minutes  D)24 minutes  E)35 minutes",D, Final Answer: 'B'. '30'
55,"In a bag of red and green sweets, the ratio of red sweets to green sweets is 3:4. If the bag contains 120 green sweets, how many red sweets are there?
A)90  B)80  C)95  D)100  E)85",A," Step 1: Identify the given ratio of red sweets to green sweets, which is 3:4.

Step 2: Determine the total number of parts in the ratio by adding the parts for red and green sweets together: 3 (red) + 4 (green) = 7 parts.

Step 3: Find the value of one part by dividing the total number of green sweets (120) by the number of green parts in the ratio (4): 120 / 4 = 30.

Step 4: Calculate the number of red sweets by multiplying the value of one part (30) by the number of red parts in the ratio (3): 30 * 3 = 90.

Final Answer: 'A'. '90'"
56,"A car finishes a journey in 20 hours at the speed of 60 km/hr. If the same distance is to be covered in 10 hours, how much speed does the car gain?
A)80 kmph  B)50 kmph  C)120 kmph  D)70 kmph  E)80 kmph",C, Final Answer: 'A'. '80'
57,"A box contains a certain number of balls, marked successively from 1 to n. If there are 45 different ways that two balls can be selected from the box such that the ball with number 3 marked on it is not selected, then what is the value of n?
A)11  B)10  C)9  D)8  E)7",A, Final Answer: 'A'. '11'
58,"For bringing each copper coin from the bottom of a river, a coin-diver gets 20 cents, and for each brass coin she gets 25 cents. If after one dive, she got $3.40. What is the minimum number of copper coins that she brought?
A)4  B)3  C)2  D)1  E)0",C," Let's denote the number of copper coins as C and the number of brass coins as B. We know that the diver gets 20 cents for each copper coin and 25 cents for each brass coin. The total amount she got is $3.40, which is equivalent to 340 cents.

We can set up the following equation:

20C + 25B = 340

Now, we need to find the minimum number of copper coins (C) that she brought. To minimize the number of copper coins, we should maximize the number of brass coins (B).

Let's try to find the maximum number of brass coins (B) that can be obtained from the total amount:

340 cents / 25 cents per brass coin = 13.6

Since we can't have a fraction of a coin, the maximum number of brass coins (B) is 13.

Now, let's substitute B = 13 into the equation:

20C + 25(13) = 340
20C + 325 = 340
20C = 15

Now, we need to find the minimum number of copper coins (C) that can be obtained from the remaining amount:

15 cents / 20 cents per copper coin = 0.75

Since we can't have a fraction of a coin, the minimum number of copper coins (C) is 0.

Final Answer: 'E'. '0'"
59,"10kg of a mixture contains 30% sand and 70% clay. In order to make the mixture contain equal quantities of clay and sand how much of the mixture is to be removed and replaced with pure sand?
A)10/7  B)20/7  C)30/7  D)40/7  E)50/7",B, Final Answer: B)20/7
60,"The bus fare of one adult is Rs. 140 from Ranchi to Patna and bus fare of a child is half the fare of one adult between the same places. What is the total bus fare of 4 adults and 3 children between same places?
A)Rs. 666  B)Rs. 670  C)Rs. 700  D)Rs. 570  E)Rs. 770",E," Let's think step by step.

1. The bus fare of one adult is Rs. 140.
2. The bus fare of a child is half the fare of one adult, so it's Rs. 140/2 = Rs. 70.
3. The total bus fare for 4 adults is 4 * Rs. 140 = Rs. 560.
4. The total bus fare for 3 children is 3 * Rs. 70 = Rs. 210.
5. The total bus fare for 4 adults and 3 children is Rs. 560 + Rs. 210 = Rs. 770.

Final Answer: 'E'. '770'"
61,"The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. What is its length now?
A)18  B)30  C)6  D)15  E)12",A," Step 1: Identify the original length of the ribbon, which is 30 cm.

Step 2: Understand the ratio given, which is 5:3. This means that the new length is 3 parts out of a total of 5 parts (5 + 3 = 8 parts).

Step 3: Calculate the length of one part by dividing the original length by the total number of parts (30 cm / 8 parts = 3.75 cm per part).

Step 4: Multiply the length of one part by the number of parts in the new ratio (3.75 cm per part * 3 parts = 11.25 cm).

Final Answer: 'D'. '11.25'"
62,"A bag contains 11 candy bars: three cost 50 cents each, four cost $1 each and four cost $2
each. How many ways can 3 candy bars be selected from the 11 candy bars so that the total cost is more than $4?
A)8  B)28  C)46  D)66  E)70",C, Final Answer: B. 28
63,"A number of friends decided to go on a picnic and planned to spend Rs. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to contribute Rs. 4 extra, each. The number of those who attended the picnic was
A)8  B)12  C)16  D)24  E)25",A," Let's denote the original number of friends as 'x' and the cost per person as 'y'.

From the problem, we know that the total cost of eatables is Rs. 96, so we can write the equation:

x * y = 96

When four friends didn't show up, the number of friends became (x - 4), and each had to contribute Rs. 4 extra. So, the new cost per person would be (y + 4).

Now, the total cost remains the same, so we can write another equation:

(x - 4) * (y + 4) = 96

Now, we have a system of two equations:

1) x * y = 96
2) (x - 4) * (y + 4) = 96

Let's solve this system of equations.

From equation 1, we can express y in terms of x:

y = 96 / x

Now, substitute this expression for y in equation 2:

(x - 4) * (96 / x + 4) = 96

Multiply both sides by x to eliminate the fraction:

(x - 4) * (96 + 4x) = 96x

Expand the equation:

96x - 384 + 4x^2 - 16x = 96x

Simplify the equation:

4x^2 - 16x - 384 = 0

Divide the equation by 4:

x^2 - 4x - 96 = 0

Now, we can factor the quadratic equation:

(x - 12)(x + 8) = 0

The possible values for x are 12 and -8. Since the number of friends cannot be negative, we can conclude that the original number of friends was 12.

Final Answer: 'B'. '12'"
64,"Last year, a Home Appliance Store sold an average(arithmetic mean) of 42 microwave ovens per month. In the first 10 months of this year,the store has sold an average(arithmetic mean) of only 20 microwave ovens per month. What was the average number of microwave ovens sold per month during the entire 22 months period ?
A)21  B)30  C)31  D)32  E)None of the above",D, Final Answer: 'C'. 31
65,"In a chocolate store, all chocolates are either vanilla or cocoa flavored only. 10% of the chocolates are cocoa flavored, 90% of the rest are squashed. What percentage of the chocolates are both vanilla flavored and not squashed?
A)1%  B)2%  C)5%  D)9%  E)10%",D," Let's think step by step.

1. We know that 10% of the chocolates are cocoa flavored. This means that 90% of the chocolates are vanilla flavored (since there are only two flavors).

2. Now, we are told that 90% of the rest (vanilla flavored chocolates) are squashed. To find the percentage of vanilla flavored chocolates that are not squashed, we need to calculate 10% of the vanilla flavored chocolates.

3. To find 10% of the vanilla flavored chocolates, we multiply 90% (the percentage of vanilla flavored chocolates) by 10% (the percentage of vanilla flavored chocolates that are not squashed).

4. (90% * 10%) = 9%

Final Answer: 'D'. '9%'"
66,"Allen starts from X, goes to Y. At the same time Bob starts from Y and goes towards X. Once Allen reaches Y he changes his direction and returns to X. Once Bob reaches X, he changes his direction and returns to Y. Throughout Allen travels at 54 kmph and Bob travels at 78kmph. By the time they meet for the second time, Bob covers 48 km more than Allen. Find the distance between X and Y.
A)144km  B)72 km  C)126km  D)84 km  E)48km",E, Final Answer: B. 72 km
67,"A rectangular piece of 150 sq m has a length which is 1m more than the 4 times the breadth. What is the perimeter of the piece?
A)60 m  B)61 m  C)62 m  D)63 m  E)64 m",C," Let's denote the breadth of the rectangle as 'b' (in meters) and the length as 'l' (in meters).

According to the problem, the area of the rectangle is 150 sq m. The formula for the area of a rectangle is:

Area = length × breadth

So, we have:

150 = l × b

The problem also states that the length is 1 meter more than 4 times the breadth. We can write this as:

l = 4b + 1

Now, we can substitute the expression for l in the area equation:

150 = (4b + 1) × b

Expanding the equation, we get:

150 = 4b^2 + b

Rearranging the equation to form a quadratic equation:

4b^2 + b - 150 = 0

Now, we need to solve this quadratic equation for b. We can use the quadratic formula:

b = (-B ± √(B^2 - 4AC)) / 2A

In our case, A = 4, B = 1, and C = -150. Plugging these values into the formula, we get:

b = (-1 ± √(1^2 - 4 × 4 × -150)) / (2 × 4)

b = (-1 ± √(1 + 2400)) / 8

b = (-1 ± √2401) / 8

b = (-1 ± 49) / 8

We have two possible solutions for b:

b1 = (-1 + 49) / 8 = 48 / 8 = 6
b2 = (-1 - 49) / 8 = -50 / 8 (This solution is not valid since the breadth cannot be negative)

So, the breadth of the rectangle is 6 meters. Now, we can find the length using the expression for l:

l = 4b + 1
l = 4 × 6 + 1
l = 24 + 1
l = 25 meters

Now that we have the length and breadth, we can find the perimeter of the rectangle. The formula for the perimeter of a rectangle is:

Perimeter = 2 × (length + breadth)

Plugging in the values for length and breadth, we get:

Perimeter = 2 × (25 + 6)
Perimeter = 2 × 31
Perimeter = 62 meters

Final Answer: 'C'. '62'"
68,"The difference between the squares of two numbers is 256000 and the sum of the numbers is 1000. The numbers are
A)600, 400  B)628, 372  C)640, 360  D)None of these  E)Cannot be determined",B," Let's denote the two numbers as x and y. We are given two equations:

1) (x^2 - y^2) = 256000
2) x + y = 1000

We can rewrite equation 1 using the difference of squares formula:

(x + y)(x - y) = 256000

Now, we can substitute the value of x + y from equation 2:

1000(x - y) = 256000

Divide both sides by 1000:

x - y = 256

Now we have a system of linear equations:

1) x + y = 1000
2) x - y = 256

Add the two equations to eliminate y:

2x = 1256

Divide by 2:

x = 628

Now, substitute the value of x back into equation 2 to find y:

628 - y = 256

Subtract 628 from both sides:

-y = -372

Multiply by -1:

y = 372

So, the two numbers are 628 and 372.

Final Answer: 'B'. '628, 372'"
69,"The original retail price of an appliance was 60 percent more than its wholesale cost. If the appliance was actually sold for 20 percent less than the original retail price, then it was sold for what percent more than its wholesale cost?
A)20%  B)28%  C)36%  D)40%  E)42%",B," Step 1: Let's assume the wholesale cost of the appliance is $100.

Step 2: The original retail price is 60% more than the wholesale cost. So, the original retail price is $100 + 60% of $100 = $100 + $60 = $160.

Step 3: The appliance was sold for 20% less than the original retail price. So, the selling price is $160 - 20% of $160 = $160 - $32 = $128.

Step 4: Now, we need to find the percentage increase from the wholesale cost ($100) to the selling price ($128).

Step 5: The difference between the selling price and the wholesale cost is $128 - $100 = $28.

Step 6: To find the percentage increase, we divide the difference by the wholesale cost and multiply by 100: ($28 / $100) * 100 = 28%.

Final Answer: 'B'. '28'"
70,"A grocer makes a 25% profit on the selling price for each bag of flour it sells. If he sells each bag for $100 and makes $3,000 in profit, how many bags did he sell?
A)12  B)16  C)24  D)30  E)40",C," Let's think step by step.

Step 1: Determine the profit per bag of flour.
The grocer makes a 25% profit on the selling price of each bag of flour. Since each bag is sold for $100, the profit per bag is 25% of $100.

Profit per bag = 0.25 * $100 = $25

Step 2: Calculate the number of bags sold.
The grocer made a total profit of $3,000. To find out how many bags he sold, we need to divide the total profit by the profit per bag.

Number of bags sold = Total profit / Profit per bag
Number of bags sold = $3,000 / $25
Number of bags sold = 120

Final Answer: 'B'. '120'"
71,"An aeroplane flies along the four sides of a square at the speeds of 200, 400, 600 and 800km/hr. Find the average speed of the plane around the field?
A)384  B)562  C)458  D)156  E)452",A, Final Answer: 'B'. 562
72,"A wire in the shape of rectangle of length 27 cm and breadth 17 cm is rebent to form a square. What will be the measure of each side?
A)9  B)11  C)22  D)25  E)31",C," Step 1: Calculate the perimeter of the rectangle.
The perimeter of a rectangle is given by the formula: P = 2(l + b), where l is the length and b is the breadth.

P = 2(27 cm + 17 cm)
P = 2(44 cm)
P = 88 cm

Step 2: The perimeter of the square will be the same as the perimeter of the rectangle.

Step 3: Calculate the side length of the square.
The perimeter of a square is given by the formula: P = 4s, where s is the side length.

88 cm = 4s

Step 4: Solve for s.
s = 88 cm / 4
s = 22 cm

Final Answer: 'C'. '22'"
73,"The height of a room to its semi-perimeter is 2:5. It costs Rs.260 to paper the walls of the room with paper 50cm wide at Rs.2 per meter allowing an area of 15 sq.m for doors and windows. The height of the room is:
A)2.6m  B)3.9m  C)4m  D)4.2m  E)4.4m",C," Let's denote the height of the room as h, the length as l, and the width as w.

According to the problem, the ratio of the height to the semi-perimeter (half the perimeter) is 2:5. The semi-perimeter of the room is (l + w + 2h)/2.

So, we have:

h / [(l + w + 2h)/2] = 2/5

Cross-multiplying, we get:

5h = 2(l + w + 2h)

Now, let's find the area of the walls that need to be papered. The total area of the walls is given by:

2h(l + w)

Since the paper is 50 cm (or 0.5 m) wide, the length of the paper needed to cover the walls is:

(2h(l + w)) / 0.5

The cost of the paper is Rs.2 per meter, and the total cost is Rs.260. So, we have:

(2h(l + w)) / 0.5 * 2 = 260

Simplifying, we get:

4h(l + w) = 260

Now, we know that the area of the walls minus the area for doors and windows is 15 sq.m. So, we have:

4h(l + w) - 15 = 260

4h(l + w) = 275

Now, we have two equations:

5h = 2(l + w + 2h)
4h(l + w) = 275

Let's solve these equations simultaneously.

From the first equation, we can express l + w in terms of h:

l + w = (5h/2) - 2h
l + w = (3h/2)

Now, substitute this expression into the second equation:

4h((3h/2)) = 275

Simplifying, we get:

6h^2 = 275

Now, solve for h:

h^2 = 275/6
h^2 ≈ 45.83

Taking the square root of both sides:

h ≈ √45.83
h ≈ 6.77

However, this value of h does not match any of the given options. Let's check our calculations again.

We made a mistake in the second equation. The correct equation should be:

4h(l + w) = 260 + 15
4h(l + w) = 275

Now, substitute the expression for l + w from the first equation:

4h((3h/2)) = 275

Simplifying, we get:

6h^2 = 275

Now, solve for h:

h^2 = 275/6
h^2 ≈ 45.83

Taking the square root of both sides:

h ≈ √45.83
h ≈ 6.77

This value of h still does not match any of the given options. It seems there might be an error in the problem statement or the given options. Please double-check the problem statement and options."
74,"A point on the edge of a fan blade that is rotating in a plane 10 centimeters from the center of the fan. What is the distance traveled, in centimeters, by this point after 30 seconds when the fan runs at the rate of 300 revolutions per minutes?
A)750pi  B)1500pi  C)1875pi  D)3000pi  E)7500pi",D," First, we need to find the distance traveled by the point in one revolution. Since the point is 10 centimeters from the center of the fan, it travels a circular path with a radius of 10 centimeters. The circumference of a circle is given by the formula C = 2πr, where r is the radius.

C = 2π(10) = 20π centimeters

Next, we need to find the number of revolutions the fan makes in 30 seconds. The fan runs at a rate of 300 revolutions per minute (rpm). To convert this to revolutions per second, we divide by 60 (since there are 60 seconds in a minute):

300 rpm / 60 = 5 revolutions per second

Now, we can find the total number of revolutions the fan makes in 30 seconds:

5 revolutions per second * 30 seconds = 150 revolutions

Finally, we can find the total distance traveled by the point by multiplying the distance traveled in one revolution (20π centimeters) by the total number of revolutions (150):

Total distance = 20π * 150 = 3000π centimeters

Final Answer: 'D'. '3000π'"
75,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?
A)27  B)81  C)90  D)99  E)110",E, Final Answer: B
76,"Train ‘A’ leaves Mumbai Central for Lucknow at 11 am, running at the speed of 40 kmph. Train ‘B’ leaves Mumbai Central for Lucknow by the same route at 2 pm on the same day, running at the speed of 72 kmph. At what time will the two trains meet each other?
A)12 am on the next day  B)5 am on the next day  C)5 pm on the next day  D)2 pm on the next day  E)None of these",A, Final Answer: B)5 am on the next day
77,"A flagstaff 17.5 metre high casts a shadow of length 40.25 metre. The height of building, which casts a shadow of length 28.75 metre under similar conditions will be :
A)12 metre  B)12.5 metre  C)13.5 metre  D)14 metre  E)15 metre",B," Step 1: Identify the similar triangles.
The flagstaff and its shadow form a right triangle, and the building and its shadow form another right triangle. Since the conditions are similar, the two triangles are similar.

Step 2: Set up the proportion.
Let h be the height of the building. Then, we can set up the proportion:

(height of flagstaff) / (length of flagstaff's shadow) = (height of building) / (length of building's shadow)

Step 3: Plug in the given values.
17.5 / 40.25 = h / 28.75

Step 4: Solve for h.
Cross-multiply to solve for h:

17.5 * 28.75 = 40.25 * h

498.125 = 40.25 * h

Now, divide both sides by 40.25 to find h:

h = 498.125 / 40.25
h ≈ 12.37

Step 5: Choose the closest option.
The closest option to 12.37 is 12.5.

Final Answer: 'B'. '12.5'"
78,"Suppose you can travel from a place M to a place N by 3 buses, from place N to place O by 4 buses, from place O to place P by 1 buses and from place P to place Q by 3 buses. In how many ways can you travel from M to Q ?
A)24  B)36  C)72  D)84  E)None",B, Final Answer: C. 72
79,"Jerry purchased a 1-year $5,000 bond that paid an annual interest rate of 12% compounded every six months. How much interest had this bond accrued at maturity?
A)$5102  B)$618  C)$216  D)$202  E)$200",B, Final Answer: A
80,"900 + 5 × 12 = ?
A)820  B)202  C)420  D)209  E)960",E," Step 1: According to the order of operations (PEMDAS/BODMAS), we first perform multiplication before addition.

Step 2: Multiply 5 by 12.
5 × 12 = 60

Step 3: Add the result from Step 2 to 900.
900 + 60 = 960

Final Answer: 'E'. '960'"
81,"In a class, 8% of total students are interested in Football. 4/5 of total students are interested in Cricket. 10% of total students are interested in Basketball and remaining 20 students are not interested in any games. How many students are there in the class?
A)850  B)800  C)900  D)950  E)1000",E, Final Answer: B. 800
82,"My wall contains 8 red colour ties, 13 violet colour ties,10 blue colour ties, 5 pink colour ties, 4 green colour ties. If electricity is gone and I want at least two ties of same colour then how many ties I should take out from my rack?
A)2  B)3  C)4  D)5  E)6",E, Final Answer: 'C'. '4'
83,"Two balls A and B rotate along a circular track. Ball A makes 2 full rotations in 26 minutes. Ball B makes 5 full rotation in 35 minutes. If they start rotating now from the same point, when will they be at the same starting point again?
A)1 hour and 31 minutes  B)2 hour and 31 minutes  C)3 hour and 31 minutes  D)4 hour and 31 minutes  E)5 hour and 31 minutes",A, Final Answer: B
84,"An exam is given in a certain class. The average (arithmetic mean) of the highest score and the lowest score is equal to x. If the average score for the entire class is equal to y and there are z students in the class, where z > 5, then in terms of x, y, and z, what is the average score for the class excluding the highest and lowest scorers?
A)(zy – 2x)/z  B)(zy – 2)/z  C)(zx – y)/(z – 2)  D)(zy – 2x)/(z -2)  E)(zy – x)/(z + 2)",D, Final Answer: D
85,"What should come in place of the question mark(?) in each of the following questions ?
a2 - b2/(a + b)2 (?)=(a - b)2
A)(a + b)(a - b)  B)(a - b)2  C)(a + b)2  D)a3 + b3  E)None of these",A, Final Answer: 'B'. '2'
86,"If 27 bottles of soda cost A cents, how much will B bottles cost in dollars?
A)AB/2700  B)27/AB  C)AB/270  D)2700/AB  E)100AB/27",A, Final Answer: 'A'. 'AB/2700'
87,"A bookshelf contains 45 books, 30 of which are hardcover and 20 of which are fiction. What is the maximum number of books that are both hardcover and fiction?
A)10  B)15  C)18  D)20  E)30",D," Let's think step by step.

We have a total of 45 books, with 30 being hardcover and 20 being fiction. We want to find the maximum number of books that are both hardcover and fiction.

To find the maximum number of books that are both hardcover and fiction, we can use the principle of inclusion-exclusion. This principle states that the total number of elements in the union of two sets is equal to the sum of the number of elements in each set minus the number of elements in their intersection.

Let A be the set of hardcover books, and B be the set of fiction books. We want to find the maximum value of |A ∩ B| (the number of books that are both hardcover and fiction).

|A ∪ B| = |A| + |B| - |A ∩ B|

We know that |A ∪ B| is the total number of books, which is 45. We also know that |A| is 30 (hardcover books) and |B| is 20 (fiction books).

45 = 30 + 20 - |A ∩ B|

Now, we can solve for |A ∩ B|:

|A ∩ B| = 30 + 20 - 45
|A ∩ B| = 50 - 45
|A ∩ B| = 5

However, since we are looking for the maximum number of books that are both hardcover and fiction, we need to consider the case where all fiction books are also hardcover. In this case, the maximum number of books that are both hardcover and fiction would be the total number of fiction books, which is 20.

Final Answer: 'D'. '20'"
88,"How many ways A boy can reach the top of stairs which contain 10 steps, when he can take either one or two steps every time?
A)88  B)89  C)90  D)91  E)92",B, Final Answer: B. 89
89,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?
A)36  B)15  C)17  D)5  E)7",A, Final Answer: A) 36
90,"If 6 yrs are subtracted from the present age of Ajay and the remainder is divided by 18, then the present age of Rahul is obtained. If Rahul is 2 yrs younger to Denis whose age is 5 yrs, then what is Ajay's present age?
A)40  B)60  C)70  D)80  E)90",B," Let's denote Ajay's present age as A, Rahul's present age as R, and Denis's present age as D.

From the problem, we have the following information:

1. If 6 years are subtracted from Ajay's present age (A), and the remainder is divided by 18, we get Rahul's present age (R).
So, (A - 6) / 18 = R

2. Rahul is 2 years younger than Denis.
So, R = D - 2

3. Denis's present age (D) is 5 years.
So, D = 5

Now, let's substitute the value of D in the second equation:
R = 5 - 2
R = 3

Now, we have the value of R. Let's substitute it in the first equation:
(A - 6) / 18 = 3

Now, let's solve for A:
A - 6 = 3 * 18
A - 6 = 54
A = 54 + 6
A = 60

Final Answer: 'B'. '60'"
91,"5 horses are in a race. Mr.Jain selects two of horses at random and bets on them. The probability that he selected the winning horse is
A)1/5  B)2/5  C)3/5  D)4/5  E)6/5",B, Final Answer: 'C'. '3/5'
92,"A paper is in a square form whose one side is 20 cm. Two semi circles are drawn on its opposites as diameters. If these semi circles are cut down what is the area of the remaining paper?
A)8.75  B)8.79  C)8.75  D)8.71  E)8.72",C, Final Answer: C. 8.75
93,"Mark told John ""If you give me half your money I will have Rs.75. John said, ""if you give me one third of your money, I will have Rs.75/-. How much money did John have ?
A)22  B)60  C)28  D)26  E)18",B," Let's denote Mark's money as M and John's money as J.

From the first statement, ""If you give me half your money, I will have Rs.75,"" we can write the equation:

M - (1/2)J = 75

From the second statement, ""If you give me one third of your money, I will have Rs.75,"" we can write the equation:

J - (1/3)M = 75

Now, we have a system of two linear equations with two variables. We can solve this system to find the values of M and J.

First, let's solve the first equation for M:

M = 2J - 150

Now, substitute this expression for M in the second equation:

J - (1/3)(2J - 150) = 75

Simplify the equation:

J - (2/3)J + 50 = 75

Combine the J terms:

(1/3)J = 25

Multiply both sides by 3:

J = 75

So, John had Rs.75.

Final Answer: 'B'. '75'"
94,"In a large forest, 300 deer were caught, tagged, and returned during 2001. During 2002, 500 deer were caught at random, of which only 20 had tags from the previous year. If the percent of deer in the forest that had tags during the second year and were caught in the 500 deer sample is representative of the percent of the total deer population in the forest with tags, what is the total deer population in the forest (assuming no change in population between 2001 and 2002)?
A)300  B)500  C)5000  D)6000  E)7500",E, Final Answer: C)5000
95,"Silu and Meenu were walking on the road.
Silu said, ""I weigh 51 Kgs. How much do you weigh?""
Meenu replied that she wouldn't reveal her weight directly as she is overweight.
But she said, ""I weigh 29 Kgs plus half of my weight. ""How much does Meenu weigh?
A)12  B)28  C)27  D)58  E)91",D," Let's think step by step.

Meenu said, ""I weigh 29 Kgs plus half of my weight.""

Let's denote Meenu's weight as M.

According to the statement, we can write the equation:

M = 29 + (1/2)M

Now, let's solve for M:

M - (1/2)M = 29
(1/2)M = 29

To find M, we multiply both sides by 2:

M = 2 * 29
M = 58

Final Answer: 'D'. '58'"
96,"Boomtown urban planners expect the city’s population to increase by 10% per year over the next two years. If that projection were to come true, the population two years from now would be exactly double the population of one year ago. Which of the following is closest to the percent population increase in Boomtown over the last year?
A)20%  B)40%  C)50%  D)65%  E)75%",D," Let's denote the population of Boomtown one year ago as P. According to the problem, the population two years from now will be double the population of one year ago. So, we can write this as:

P * (1 + 10/100)^2 = 2 * P

Now, we need to find the percent population increase in Boomtown over the last year. Let's denote this as x. We can write this as:

P * (1 + x/100)

Now, we need to find the value of x that satisfies the equation:

P * (1 + x/100) * (1 + 10/100) = 2 * P

Divide both sides by P:

(1 + x/100) * (1 + 10/100) = 2

Now, we need to solve for x:

(1 + x/100) = 2 / (1 + 10/100)

(1 + x/100) = 2 / 1.1

1 + x/100 = 1.81818181818

x/100 = 0.81818181818

x = 81.81818181818

The percent population increase in Boomtown over the last year is approximately 81.82%.

Final Answer: 'E'. '75'"
97,"What is 60% of 30% of 1400 grams?
A)450 gms  B)100 gms  C)252 gms  D)240 gms  E)None of these",C," Step 1: Calculate 30% of 1400 grams.
30% of 1400 grams = (30/100) * 1400 = 420 grams

Step 2: Calculate 60% of the result from Step 1.
60% of 420 grams = (60/100) * 420 = 252 grams

Final Answer: 'C'. '252'"
98,"Last year, 34 percent of Ace Book Company's sales revenue came from the sale of novels. Of the remaining revenue, 1/3 was from the sale of biographies. The company's revenue from the sale of novels was approximately, how many times its revenue from the sale of biographies?
A)1.3  B)1.5  C)2.1  D)2.5  E)3.1",B," Let's denote the total sales revenue of Ace Book Company as R.

Step 1: Calculate the revenue from the sale of novels.
Revenue from novels = 34% of R = 0.34 * R

Step 2: Calculate the remaining revenue after the sale of novels.
Remaining revenue = R - Revenue from novels = R - 0.34 * R = 0.66 * R

Step 3: Calculate the revenue from the sale of biographies.
Revenue from biographies = 1/3 of the remaining revenue = (1/3) * 0.66 * R = 0.22 * R

Step 4: Calculate the ratio of the revenue from the sale of novels to the revenue from the sale of biographies.
Ratio = Revenue from novels / Revenue from biographies = (0.34 * R) / (0.22 * R)

Step 5: Simplify the ratio.
Ratio = 0.34 / 0.22 ≈ 1.545

Final Answer: 'B' 1.5"
99,"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?
A)15  B)24  C)25  D)40  E)52",D, Final Answer: B. 24
